depth (cm),y (cm),Camera-Left filename,Camera-Right filename
40,-20,depth40cm_y-20cm-left.png,depth40cm_y-20cm-right.png
40,-15,depth40cm_y-15cm-left.png,depth40cm_y-15cm-right.png
40,-10,depth40cm_y-10cm-left.png,depth40cm_y-10cm-right.png
40,-5,depth40cm_y-5cm-left.png,depth40cm_y-5cm-right.png
40,0,depth40cm_y0cm-left.png,depth40cm_y0cm-right.png
40,5,depth40cm_y5cm-left.png,depth40cm_y5cm-right.png
40,10,depth40cm_y10cm-left.png,depth40cm_y10cm-right.png
40,15,depth40cm_y15cm-left.png,depth40cm_y15cm-right.png
40,20,depth40cm_y20cm-left.png,depth40cm_y20cm-right.png
40,25,depth40cm_y25cm-left.png,depth40cm_y25cm-right.png
40,30,depth40cm_y30cm-left.png,depth40cm_y30cm-right.png
40,35,depth40cm_y35cm-left.png,depth40cm_y35cm-right.png
45,-40,depth45cm_y-40cm-left.png,depth45cm_y-40cm-right.png
45,-35,depth45cm_y-35cm-left.png,depth45cm_y-35cm-right.png
45,-30,depth45cm_y-30cm-left.png,depth45cm_y-30cm-right.png
45,-25,depth45cm_y-25cm-left.png,depth45cm_y-25cm-right.png
45,-20,depth45cm_y-20cm-left.png,depth45cm_y-20cm-right.png
45,-15,depth45cm_y-15cm-left.png,depth45cm_y-15cm-right.png
45,-10,depth45cm_y-10cm-left.png,depth45cm_y-10cm-right.png
45,-5,depth45cm_y-5cm-left.png,depth45cm_y-5cm-right.png
45,0,depth45cm_y0cm-left.png,depth45cm_y0cm-right.png
45,5,depth45cm_y5cm-left.png,depth45cm_y5cm-right.png
45,10,depth45cm_y10cm-left.png,depth45cm_y10cm-right.png
45,15,depth45cm_y15cm-left.png,depth45cm_y15cm-right.png
45,20,depth45cm_y20cm-left.png,depth45cm_y20cm-right.png
45,25,depth45cm_y25cm-left.png,depth45cm_y25cm-right.png
45,30,depth45cm_y30cm-left.png,depth45cm_y30cm-right.png
45,35,depth45cm_y35cm-left.png,depth45cm_y35cm-right.png
45,40,depth45cm_y40cm-left.png,depth45cm_y40cm-right.png
50,-45,depth50cm_y-45cm-left.png,depth50cm_y-45cm-right.png
50,-40,depth50cm_y-40cm-left.png,depth50cm_y-40cm-right.png
50,-35,depth50cm_y-35cm-left.png,depth50cm_y-35cm-right.png
50,-30,depth50cm_y-30cm-left.png,depth50cm_y-30cm-right.png
50,-25,depth50cm_y-25cm-left.png,depth50cm_y-25cm-right.png
50,-20,depth50cm_y-20cm-left.png,depth50cm_y-20cm-right.png
50,-15,depth50cm_y-15cm-left.png,depth50cm_y-15cm-right.png
50,-10,depth50cm_y-10cm-left.png,depth50cm_y-10cm-right.png
50,-5,depth50cm_y-5cm-left.png,depth50cm_y-5cm-right.png
50,0,depth50cm_y0cm-left.png,depth50cm_y0cm-right.png
50,5,depth50cm_y5cm-left.png,depth50cm_y5cm-right.png
50,10,depth50cm_y10cm-left.png,depth50cm_y10cm-right.png
50,15,depth50cm_y15cm-left.png,depth50cm_y15cm-right.png
50,20,depth50cm_y20cm-left.png,depth50cm_y20cm-right.png
50,25,depth50cm_y25cm-left.png,depth50cm_y25cm-right.png
50,30,depth50cm_y30cm-left.png,depth50cm_y30cm-right.png
50,35,depth50cm_y35cm-left.png,depth50cm_y35cm-right.png
50,40,depth50cm_y40cm-left.png,depth50cm_y40cm-right.png
50,45,depth50cm_y45cm-left.png,depth50cm_y45cm-right.png
